language,category,ecosystem,tier,description
Python,ML/AI/Data Science,PyPI,1,General-purpose with strong ML/AI ecosystem
JavaScript,Web/Frontend,npm,1,Dominant language for web development
TypeScript,Web/Frontend,npm,1,Typed superset of JavaScript
Java,Enterprise/Backend,Maven,1,Enterprise applications and Android
Rust,Systems/Performance,crates.io,1,Memory-safe systems programming
Go,Cloud/Infrastructure,Go Modules,1,Google's language for cloud-native apps
C++,Systems/Performance,vcpkg,1,High-performance systems programming
C,Systems/Embedded,N/A,1,Low-level systems and embedded programming
Kotlin,Mobile/JVM,Maven,2,Modern JVM language and Android
Swift,Mobile/Apple,Swift Package Manager,2,Apple platforms development
Ruby,Web/Backend,RubyGems,2,Elegant scripting and web (Rails)
PHP,Web/Backend,Composer,2,Server-side web scripting
C#,Enterprise/.NET,NuGet,2,Microsoft .NET ecosystem
Scala,Data/Functional,Maven/sbt,2,JVM functional + data engineering (Spark)
R,Data Science/Stats,CRAN,2,Statistical computing and data analysis
Shell,DevOps/Scripting,N/A,2,Unix/Linux shell scripting and automation
Dart,Mobile/Flutter,pub.dev,2,Google Flutter cross-platform apps
Elixir,Distributed/Web,Hex,3,Fault-tolerant distributed systems (Phoenix)
Haskell,Functional,Hackage,3,Pure functional programming
Lua,Embedded/Scripting,LuaRocks,3,Lightweight embeddable scripting
Julia,Scientific Computing,General,3,High-performance numerical computing
Clojure,Functional/JVM,Clojars,3,LISP dialect for JVM
Erlang,Distributed/Telecom,Hex,3,Highly concurrent distributed systems
F#,Functional/.NET,NuGet,3,Functional-first .NET language
OCaml,Functional/Systems,OPAM,3,Functional language used in finance/systems
Perl,Scripting/Text,CPAN,3,Text processing and sysadmin scripting
Groovy,JVM/Scripting,Maven,3,Dynamic JVM scripting (Gradle)
PowerShell,DevOps/Windows,PSGallery,3,Windows automation and scripting
MATLAB,Scientific/Engineering,N/A,3,Numerical computing and engineering
Assembly,Systems/Low-level,N/A,3,Low-level hardware programming
Vim script,Editor,N/A,4,Vim editor configuration and plugins
HCL,Infrastructure/DevOps,Terraform Registry,4,HashiCorp Configuration Language (Terraform)
Dockerfile,DevOps/Containers,Docker Hub,4,Docker container definitions
YAML,Configuration,N/A,4,Data serialization and configuration
SQL,Data/Databases,N/A,2,Structured query language for databases
HTML,Web/Markup,N/A,1,HyperText Markup Language for web
CSS,Web/Styling,npm,1,Cascading Style Sheets for web design
